port_id,vsl_id,time_stamp,lat,lon,cog,heading
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 14:10,36.49051667,129.9356833,11.5,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 14:20,36.5274,129.945,11.4,11.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 14:30,36.56428333,129.9543167,11.3,11
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 14:40,36.59317222,129.9615556,11.46666667,11.33333333
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 14:50,36.62206111,129.9687944,11.63333333,11.66666667
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 15:00,36.65095,129.9760333,11.8,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 15:10,36.69165,129.9864833,12.3,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 15:20,36.73218889,129.9973778,12.46666667,12.66666667
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 15:30,36.77272778,130.0082722,12.63333333,13.33333333
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 15:40,36.81326667,130.0191667,12.8,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 15:50,36.840525,130.0267583,12.4,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 16:00,36.86778333,130.03435,12,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 16:10,36.92433333,130.0496833,11.8,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 16:20,36.952175,130.05685,12.2,14.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 16:30,36.98001667,130.0640167,12.6,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 16:40,37.02085556,130.0745833,12.23333333,15.33333333
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 16:50,37.06169444,130.08515,11.86666667,15.66666667
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 17:00,37.10253333,130.0957167,11.5,16
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 17:10,37.1315,130.1028,11.15,16.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 17:20,37.16046667,130.1098833,10.8,17
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 17:30,37.187775,130.1177583,13.1,18.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 17:40,37.21508333,130.1256333,15.4,20
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 17:50,37.27213333,130.1458833,16.1,20
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 18:00,37.30759166,130.1587833,15.7,19.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 18:10,37.34305,130.1716833,15.3,19
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 18:20,37.3752,130.1820333,13.7,17
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 18:30,37.40537778,130.1906056,11.73333333,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 18:40,37.43555555,130.1991778,9.766666667,13
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 18:50,37.46573333,130.20775,7.8,11
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 19:00,37.52075,130.2181833,9.4,11
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 19:10,37.54929166,130.2244667,10.8,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 19:20,37.57783333,130.23075,12.2,13
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 19:30,37.61466111,130.2422167,12.8,13.66666667
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 19:40,37.65148889,130.2536833,13.4,14.33333333
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 19:50,37.68831667,130.26515,14,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 20:00,37.7437,130.2819833,14.4,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 20:10,37.77239167,130.2911917,14.65,14.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 20:20,37.80108333,130.3004,14.9,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 20:30,37.85641667,130.31835,14.5,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 20:40,37.89479445,130.3296444,13.93333333,13
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 20:50,37.93317222,130.3409389,13.36666667,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 21:00,37.97155,130.3522333,12.8,11
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 21:10,38.00053334,130.3603667,12.65,11.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 21:20,38.02951667,130.3685,12.5,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 21:30,38.06965,130.37985,12.35,11.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 21:40,38.10978333,130.3912,12.2,11
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 21:50,38.15205833,130.4025167,12.05,11
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 22:00,38.19433333,130.4138333,11.9,11
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 22:10,38.23091667,130.4235083,12.35,12.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 22:20,38.2675,130.4331833,12.8,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 22:30,38.30796667,130.4451667,13.3,14.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 22:40,38.34843333,130.45715,13.8,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 22:50,38.376875,130.4660333,14.2,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 23:00,38.40531667,130.4749167,14.6,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 23:10,38.45938333,130.49205,14,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 23:20,38.47853333,130.4981167,15,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 23:30,38.52326667,130.51205,13.8,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 23:40,38.56198334,130.5238833,13.3,14.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/10 23:50,38.6007,130.5357167,12.8,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 0:00,38.6370125,130.546725,13.1,14.25
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 0:10,38.673325,130.5577333,13.4,14.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 0:20,38.7096375,130.5687417,13.7,14.75
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 0:30,38.74595,130.57975,14,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 0:40,38.8046,130.5987333,14.5,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 0:50,38.83350833,130.608425,14.4,14.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 1:00,38.86241667,130.6181167,14.3,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 1:10,38.902175,130.6308667,14.18333333,13.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 1:20,38.94193334,130.6436167,14.06666667,13
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 1:30,38.98169167,130.6563667,13.95,12.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 1:40,39.02145,130.6691167,13.83333333,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 1:50,39.06120834,130.6818667,13.71666667,11.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 2:00,39.10096667,130.6946167,13.6,11
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 2:10,39.13976667,130.706475,13.7,11.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 2:20,39.17856667,130.7183333,13.8,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 2:30,39.20488889,130.7264167,13.7,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 2:40,39.23121111,130.7345,13.6,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 2:50,39.25753333,130.7425833,13.5,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 3:00,39.29185238,130.7521464,13.42857143,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 3:10,39.32617143,130.7617095,13.35714286,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 3:20,39.36049047,130.7712726,13.28571429,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 3:30,39.39480952,130.7808357,13.21428571,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 3:40,39.42912857,130.7903988,13.14285714,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 3:50,39.46344762,130.7999619,13.07142857,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 4:00,39.49776667,130.809525,13,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 4:10,39.53208571,130.8190881,12.92857143,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 4:20,39.56640476,130.8286512,12.85714286,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 4:30,39.60072381,130.8382143,12.78571429,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 4:40,39.63504286,130.8477774,12.71428571,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 4:50,39.6693619,130.8573405,12.64285714,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 5:00,39.70368095,130.8669036,12.57142857,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 5:10,39.738,130.8764667,12.5,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 5:20,39.77445909,130.8869303,12.52727273,12.18181818
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 5:30,39.81091818,130.8973939,12.55454545,12.36363636
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 5:40,39.84737727,130.9078576,12.58181818,12.54545455
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 5:50,39.88383636,130.9183212,12.60909091,12.72727273
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 6:00,39.92029545,130.9287849,12.63636364,12.90909091
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 6:10,39.95675455,130.9392485,12.66363636,13.09090909
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 6:20,39.99321364,130.9497121,12.69090909,13.27272727
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 6:30,40.02967273,130.9601758,12.71818182,13.45454545
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 6:40,40.06613182,130.9706394,12.74545455,13.63636364
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 6:50,40.10259091,130.981103,12.77272727,13.81818182
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 7:00,40.13905,130.9915667,12.8,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 7:10,40.17224444,131.0011389,12.4,14.33333333
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 7:20,40.20543889,131.0107111,12,14.66666667
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 7:30,40.23863333,131.0202833,11.6,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 7:40,40.27084444,131.0298833,12.23333333,14.66666667
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 7:50,40.30305556,131.0394833,12.86666667,14.33333333
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 8:00,40.33526667,131.0490833,13.5,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 8:10,40.3734,131.0614809,13.56190476,14.14285714
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 8:20,40.41153334,131.0738786,13.62380952,14.28571429
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 8:30,40.44966667,131.0862762,13.68571429,14.42857143
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 8:40,40.4878,131.0986738,13.74761905,14.57142857
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 8:50,40.52593334,131.1110714,13.80952381,14.71428571
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 9:00,40.56406667,131.123469,13.87142857,14.85714286
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 9:10,40.6022,131.1358667,13.93333333,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 9:20,40.64033334,131.1482643,13.9952381,15.14285714
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 9:30,40.67846667,131.1606619,14.05714286,15.28571429
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 9:40,40.7166,131.1730595,14.11904762,15.42857143
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 9:50,40.75473334,131.1854571,14.18095238,15.57142857
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 10:00,40.79286667,131.1978548,14.24285714,15.71428571
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 10:10,40.831,131.2102524,14.3047619,15.85714286
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 10:20,40.86913334,131.22265,14.36666667,16
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 10:30,40.90726667,131.2350476,14.42857143,16.14285714
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 10:40,40.9454,131.2474452,14.49047619,16.28571429
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 10:50,40.98353334,131.2598429,14.55238095,16.42857143
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 11:00,41.02166667,131.2722405,14.61428571,16.57142857
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 11:10,41.0598,131.2846381,14.67619048,16.71428571
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 11:20,41.09793334,131.2970357,14.73809524,16.85714286
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 11:30,41.13606667,131.3094333,14.8,17
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 11:40,41.1679,131.3213667,15.43333333,16.66666667
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 11:50,41.19973334,131.3333,16.06666667,16.33333333
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 12:00,41.23156667,131.3452333,16.7,16
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 12:10,41.26688195,131.3569,16.43333333,15.91666667
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 12:20,41.30219723,131.3685667,16.16666667,15.83333333
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 12:30,41.3375125,131.3802333,15.9,15.75
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 12:40,41.37282778,131.3919,15.63333333,15.66666667
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 12:50,41.40814306,131.4035667,15.36666667,15.58333333
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 13:00,41.44345834,131.4152333,15.1,15.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 13:10,41.47877361,131.4269,14.83333333,15.41666667
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 13:20,41.51408889,131.4385667,14.56666667,15.33333333
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 13:30,41.54940417,131.4502333,14.3,15.25
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 13:40,41.58471944,131.4619,14.03333333,15.16666667
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 13:50,41.62003472,131.4735667,13.76666667,15.08333333
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 14:00,41.65535,131.4852333,13.5,15
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 14:10,41.68656667,131.495,13.55,14.75
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 14:20,41.71778334,131.5047667,13.6,14.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 14:30,41.749,131.5145333,13.65,14.25
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 14:40,41.78021667,131.5243,13.7,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 14:50,41.81821667,131.5364833,11.3,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 15:00,41.85463333,131.5501667,17.9,22
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 15:10,41.88303333,131.55915,14,20
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 15:20,41.91143333,131.5681333,10.1,18
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 15:30,41.95143333,131.5780833,11.05,18
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 15:40,41.99143333,131.5880333,12,18
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 15:50,42.02534166,131.5956583,15.55,22
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 16:00,42.05925,131.6032833,19.1,26
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 16:10,42.092975,131.6110583,13.25,20
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 16:20,42.1267,131.6188333,7.4,14
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 16:30,42.15628333,131.6252167,8.5,16.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 16:40,42.18586667,131.6316,9.6,19
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 16:50,42.21746667,131.6385833,13.8,19
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 17:00,42.258275,131.648575,11.35,15.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 17:10,42.29908333,131.6585667,8.9,12
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 17:20,42.31698333,131.6635667,8.3,10
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 17:30,42.35845,131.66895,5.7,11
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 17:40,42.40861667,131.6675167,356.8,1
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 17:50,42.44256667,131.6644667,356.9,1.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 18:00,42.47651667,131.6614167,357,2
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 18:10,42.53188333,131.65835,2.5,8
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 18:20,42.5596875,131.6588958,91.775,6.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 18:30,42.58749167,131.6594417,181.05,5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 18:40,42.61529583,131.6599875,270.325,3.5
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 18:50,42.6431,131.6605333,359.6,2
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 19:00,42.68366667,131.6881667,52.6,56
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 19:10,42.70385,131.7220167,52.3,58
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 19:20,42.72246667,131.7565667,54.2,59
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 19:30,42.74288333,131.7950667,53.6,61
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 19:40,42.76185,131.8327333,49.4,54
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 19:50,42.76951667,131.84795,57.1,60
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 20:00,42.79735,131.9046,57.4,61
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 20:10,42.80746667,131.9261333,57.6,61
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024/08/11 20:20,42.82523333,131.9654333,57.2,63
